timestamp,device_id,device_type,cpu_usage,memory_usage,network_in_kb,network_out_kb,packet_rate,avg_response_time_ms,service_access_count,failed_auth_attempts,is_encrypted,geo_location_variation,label
52:26.5,sensor_44,sensor,10.03,39.13,448,79,852,217.17,7,3,0,8.44,Normal
52:27.5,smart_light_7,smart,15.4,39.57,1330,21,895,335.23,9,2,1,18.32,Normal
52:28.5,sensor_42,sensor,79.52,12.81,427,568,701,331.35,2,1,1,14.74,Normal
52:29.5,sensor_14,sensor,22.45,44.23,872,1307,633,478.32,9,9,0,10.18,Normal
52:30.5,sensor_5,sensor,14.12,12.12,1284,754,369,156.54,3,6,0,1.46,Normal
52:31.5,smart_light_5,smart,34.24,58.36,583,1422,669,434.71,2,6,1,9.01,Normal
52:32.5,camera_43,camera,13.32,77.13,228,1210,924,232.11,4,3,1,12,Normal
52:33.5,smart_light_30,smart,69.23,58.42,11,1181,151,235.84,3,8,1,18.56,Normal
52:34.5,smart_light_26,smart,50.17,49.16,123,1347,242,218.7,9,0,1,2.28,Anomaly_Injection
52:35.5,thermostat_19,thermostat,67.48,29.51,635,633,932,24.97,4,6,0,17.05,Anomaly_DoS
52:36.5,thermostat_8,thermostat,82.84,33.35,370,697,747,93.94,8,6,1,10.25,Normal
52:37.5,smart_light_48,smart,21.26,60.38,946,937,756,106.99,7,10,1,17.75,Normal
52:38.5,camera_26,camera,52.42,46.45,1198,227,344,429.82,5,0,1,16.81,Anomaly_DoS
52:39.5,smart_light_22,smart,30.15,39.22,1237,253,895,168.73,9,9,1,16.55,Anomaly_DoS
52:40.5,sensor_24,sensor,46.45,65.67,837,1281,520,494.24,2,7,1,13.53,Anomaly_DoS
52:41.5,smart_light_7,smart,29.65,24.34,618,557,51,225.31,9,8,1,9.34,Normal
52:42.5,smart_light_47,smart,34.15,81.18,763,437,784,127.33,3,2,1,6.49,Anomaly_DoS
52:43.5,smart_light_20,smart,41.58,53.72,777,1118,718,41.87,2,4,0,4.3,Normal
52:44.5,camera_5,camera,57.81,77.14,494,1445,176,463.87,8,7,1,7.78,Normal
52:45.5,sensor_42,sensor,26.5,39.35,328,846,576,388.73,5,0,0,6.9,Normal
52:46.5,sensor_39,sensor,82.93,15.85,1215,620,185,77.77,2,2,0,2.44,Normal
52:47.5,camera_32,camera,46.71,36.23,541,243,661,311.74,9,2,1,3.35,Normal
52:48.5,smart_light_45,smart,76.72,12.54,119,975,409,130.64,1,3,0,13.26,Anomaly_DoS
52:49.5,smart_light_29,smart,45.27,22.81,1458,532,306,264.95,3,8,0,5.46,Normal
52:50.5,smart_light_22,smart,87.3,29.59,912,65,158,30.6,5,8,0,9.83,Normal
52:51.5,smart_light_47,smart,36.47,62.52,942,904,339,177.03,8,2,1,10.88,Normal
52:52.5,sensor_43,sensor,31.78,50.74,407,286,285,321.87,5,6,1,3.29,Normal
52:53.5,camera_22,camera,82.63,47.37,1192,502,957,381,5,2,0,18.05,Anomaly_DoS
52:54.5,camera_12,camera,67.4,42.29,1461,454,260,449.43,7,10,0,6.91,Normal
52:55.5,smart_light_7,smart,28.54,23.35,477,197,149,392.78,1,8,0,8.79,Normal
52:56.5,smart_light_40,smart,42.4,82.01,703,249,92,371.57,2,9,0,18.76,Normal
52:57.5,sensor_38,sensor,54.74,40.13,1029,306,385,36.04,8,7,1,8.51,Normal
52:58.5,sensor_49,sensor,70.71,78.76,982,569,621,192.96,6,5,0,8.64,Normal
52:59.5,smart_light_15,smart,21.99,68.51,749,293,892,429.54,6,1,1,19.41,Normal
53:00.5,camera_25,camera,84.17,77.28,208,448,413,419.32,8,6,1,15.03,Normal
53:01.5,camera_28,camera,47.79,22.14,62,1051,994,185.83,6,1,1,16.21,Normal
53:02.5,camera_4,camera,24.92,72.22,941,859,763,135.66,6,5,0,4.81,Normal
53:03.5,sensor_33,sensor,24.36,56.75,411,1074,516,353.58,9,2,1,2.76,Normal
53:04.5,camera_15,camera,15.34,39.99,1077,1330,39,400.62,1,3,0,11.61,Normal
53:05.5,sensor_48,sensor,37.53,11.32,154,537,953,94.32,3,0,0,19.88,Anomaly_DoS
53:06.5,thermostat_50,thermostat,48.45,29.67,927,659,859,23.83,9,2,0,1.33,Normal
53:07.5,camera_1,camera,52.97,62.3,829,458,856,226.6,3,0,1,15.37,Normal
53:08.5,sensor_14,sensor,21.67,25.38,386,657,25,496.05,6,0,1,19.41,Anomaly_DoS
53:09.5,thermostat_32,thermostat,74.6,20.07,321,61,834,304.86,2,3,1,19.4,Normal
53:10.5,thermostat_14,thermostat,68.94,62.91,407,476,669,304.9,6,9,1,17.58,Normal
53:11.5,thermostat_28,thermostat,22.83,18.73,851,755,405,454.26,6,7,0,11.35,Normal
53:12.5,camera_42,camera,39.31,35.81,1481,938,825,234.78,2,3,0,6.5,Normal
53:13.5,camera_41,camera,37.69,52.37,240,586,105,258.33,9,3,0,6.78,Normal
53:14.5,smart_light_21,smart,13.98,55.66,955,724,399,448.48,9,2,1,13.46,Normal
53:15.5,thermostat_9,thermostat,50.1,15.07,458,434,62,424.81,8,10,0,18.25,Normal
53:16.5,smart_light_33,smart,69.34,63.29,721,1287,512,34.23,6,8,0,7.81,Normal
53:17.5,sensor_8,sensor,51.7,43.05,750,171,19,183.29,3,3,0,5,Normal
53:18.5,thermostat_9,thermostat,84.97,71.42,29,22,778,492.73,5,10,1,8.66,Normal
53:19.5,camera_9,camera,32.07,60,712,259,483,200.66,9,9,0,15.43,Normal
53:20.5,sensor_17,sensor,66.1,34.54,218,1298,346,304.62,6,3,0,18.56,Normal
53:21.5,thermostat_2,thermostat,23.74,67.87,699,270,836,413.67,1,0,0,14.19,Normal
53:22.5,smart_light_30,smart,22.28,55.78,969,1001,124,307.19,1,3,1,14.91,Normal
53:23.5,thermostat_5,thermostat,15.1,66.84,1326,454,779,220.41,8,1,0,13.73,Anomaly_Spoofing
53:24.5,thermostat_11,thermostat,33.13,24.53,1372,1260,661,187.7,5,10,1,11.16,Normal
53:25.5,smart_light_28,smart,16.89,82.92,146,1085,495,384.74,3,4,1,7.9,Normal
53:26.5,smart_light_48,smart,52.04,19.06,1279,1487,420,200.87,6,3,0,13.77,Normal
53:27.5,sensor_19,sensor,79.49,37.97,1149,367,682,244.04,6,9,1,7.6,Normal
53:28.5,smart_light_23,smart,33.55,46.45,1343,1015,613,365.54,7,1,0,5.89,Normal
53:29.5,thermostat_49,thermostat,28.62,48.18,230,717,694,23.56,2,10,0,19.24,Normal
53:30.5,thermostat_30,thermostat,84.24,41.34,889,241,334,400.61,8,10,0,8.11,Normal
53:31.5,camera_44,camera,34.88,61.13,1079,1475,698,135.28,1,10,0,5.15,Normal
53:32.5,camera_34,camera,28.13,16.96,672,439,925,213.88,8,10,1,6.13,Normal
53:33.5,sensor_8,sensor,76.52,44.09,58,735,230,167.57,7,3,1,10.59,Normal
53:34.5,sensor_30,sensor,81.09,80.2,1039,1296,199,58.05,3,2,0,6.51,Normal
53:35.5,smart_light_32,smart,63.21,73.03,452,642,109,218.12,2,3,0,7.65,Normal
53:36.5,smart_light_45,smart,31.31,70.65,16,514,969,345.92,7,9,0,17.2,Normal
53:37.5,smart_light_39,smart,38.95,14.95,621,982,373,235.19,8,0,0,0.72,Anomaly_Spoofing
53:38.5,sensor_17,sensor,36.78,46.63,455,674,404,463.48,5,3,1,9.53,Anomaly_Injection
53:39.5,smart_light_43,smart,30.36,13.47,456,50,827,118.06,9,2,1,17.72,Normal
53:40.5,smart_light_19,smart,63.18,74.69,1318,1166,510,476.02,8,9,0,2.54,Normal
53:41.5,camera_23,camera,43.59,50.48,798,575,533,64.64,6,8,0,9.95,Anomaly_DoS
53:42.5,sensor_16,sensor,73.01,62,178,532,737,181.71,6,4,1,19.23,Normal
53:43.5,thermostat_33,thermostat,16.39,24.27,726,1110,333,76.38,3,2,1,12.89,Normal
53:44.5,thermostat_10,thermostat,73.4,83.28,1144,743,296,465.21,5,3,1,13.78,Anomaly_DoS
53:45.5,sensor_32,sensor,47.8,28.16,824,1261,386,340.99,1,2,1,18.73,Normal
53:46.5,camera_32,camera,87.59,38.97,752,249,200,308.99,6,1,1,6.83,Anomaly_Injection
53:47.5,smart_light_10,smart,39.92,47.97,1410,232,553,47.93,5,5,1,7.94,Normal
53:48.5,sensor_29,sensor,23.14,22.3,680,198,298,54.18,3,2,0,10.67,Normal
53:49.5,smart_light_30,smart,69.51,72.28,513,1408,244,58.68,9,10,1,10.8,Normal
53:50.5,thermostat_3,thermostat,38.11,77.36,1165,1250,295,439.27,6,5,1,14.76,Normal
53:51.5,sensor_38,sensor,34.99,28.38,618,867,667,259.02,7,9,0,14.17,Normal
53:52.5,camera_40,camera,63.29,28.83,675,1150,887,260.56,9,1,1,3.49,Normal
53:53.5,thermostat_24,thermostat,27.95,44.56,768,642,433,253.88,3,4,1,2.62,Normal
53:54.5,thermostat_50,thermostat,86.49,69.62,1224,553,406,469.2,9,7,1,18.85,Normal
53:55.5,camera_37,camera,61.41,28.2,911,887,908,169.6,2,0,1,5.32,Anomaly_Injection
53:56.5,smart_light_45,smart,29.45,58.63,1220,558,180,184.68,5,4,0,13.29,Normal
53:57.5,sensor_50,sensor,53.98,29.25,1377,662,461,484.34,8,2,0,16.13,Anomaly_DoS
53:58.5,smart_light_7,smart,24.62,72.86,688,321,990,102.59,9,0,0,0.01,Normal
53:59.5,thermostat_17,thermostat,45.03,12.24,1369,197,674,322.99,8,7,0,14.94,Normal
54:00.5,smart_light_8,smart,12.6,39.13,490,1459,776,359.82,4,5,0,17.82,Anomaly_DoS
54:01.5,thermostat_5,thermostat,11.35,27.13,1045,767,536,219.85,2,8,0,3.32,Normal
54:02.5,camera_22,camera,33.56,45.12,1237,675,898,77.85,3,4,0,1.41,Normal
54:03.5,thermostat_40,thermostat,50.8,16.75,1195,69,478,221.89,2,3,0,11.74,Normal
54:04.5,thermostat_33,thermostat,40.89,24.85,1241,994,17,260.9,3,10,0,18.3,Normal
54:05.5,smart_light_29,smart,68.05,55.87,142,1396,148,236.36,7,0,0,9.9,Normal
54:06.5,camera_33,camera,80.6,72.65,211,930,56,365.88,7,9,0,6.89,Anomaly_Spoofing
54:07.5,sensor_5,sensor,72.93,58.95,761,688,113,274.93,2,6,0,13.12,Normal
54:08.5,sensor_2,sensor,57.58,31.79,378,719,514,403,3,7,1,8.07,Normal
54:09.5,sensor_37,sensor,37.46,39.56,854,840,364,309.17,6,3,0,10.54,Normal
54:10.5,sensor_23,sensor,46.19,15.85,816,1071,219,393.36,6,9,1,4.75,Normal
54:11.5,camera_20,camera,23.04,28.41,1141,383,684,281.99,5,0,0,17.05,Normal
54:12.5,sensor_8,sensor,79.98,50.27,107,250,948,84.65,8,0,0,10.81,Normal
54:13.5,camera_50,camera,19.12,78.96,1392,926,391,311.6,6,6,0,12.44,Normal
54:14.5,camera_22,camera,68.67,15.04,162,431,352,326.25,2,4,0,10.82,Normal
54:15.5,smart_light_11,smart,24.83,36.66,1403,1344,953,303.88,5,3,1,16.98,Anomaly_DoS
54:16.5,smart_light_35,smart,16.37,83.38,698,1016,729,321.84,9,0,0,5.76,Normal
54:17.5,camera_37,camera,52.58,42.27,1059,598,893,255.41,5,9,0,9.87,Anomaly_Injection
54:18.5,smart_light_38,smart,59.81,48.28,1406,205,18,270.46,7,9,0,12.96,Normal
54:19.5,smart_light_37,smart,87.02,23.67,1044,1225,912,273.7,4,7,1,19.11,Normal
54:20.5,sensor_23,sensor,73.32,45.31,980,425,616,279.21,1,3,0,17.31,Normal
54:21.5,thermostat_49,thermostat,49.22,45.98,432,302,294,331.99,1,4,0,6.66,Normal
54:22.5,sensor_28,sensor,88.3,30.36,1450,166,795,231.07,2,4,0,15.75,Normal
54:23.5,sensor_1,sensor,10.56,36.04,911,354,335,63.9,8,9,1,8.44,Normal
54:24.5,camera_1,camera,21.62,24.93,419,351,505,454.5,2,5,1,9.07,Normal
54:25.5,camera_3,camera,63.11,23.78,239,241,882,361.41,4,2,1,18.05,Normal
54:26.5,camera_11,camera,86.28,39.87,770,543,231,394.4,6,10,1,7.34,Anomaly_Injection
54:27.5,sensor_27,sensor,11.15,67.28,721,118,128,321.62,5,9,1,4.81,Normal
54:28.5,sensor_46,sensor,21.19,76.36,210,137,621,141.23,6,4,1,9.78,Normal
54:29.5,smart_light_15,smart,26.9,15.22,115,882,759,351.04,6,5,1,4.22,Anomaly_Spoofing
54:30.5,camera_5,camera,78.94,57.16,1044,343,265,455.62,5,0,0,11.08,Anomaly_DoS
54:31.5,sensor_36,sensor,18.86,39.59,1331,1351,731,281.91,9,6,1,17.44,Anomaly_Injection
54:32.5,smart_light_10,smart,77.71,76.14,685,792,426,375.23,6,6,0,1.39,Normal
54:33.5,thermostat_13,thermostat,20.93,24.42,1009,173,543,423.6,9,6,1,8.56,Normal
54:34.5,thermostat_25,thermostat,52.67,72.36,1404,590,356,236.41,3,10,1,17.19,Normal
54:35.5,camera_29,camera,35.46,43.71,486,187,608,302.05,3,3,0,0.63,Anomaly_Spoofing
54:36.5,camera_8,camera,84.94,36.67,812,224,254,228.92,6,4,1,17.08,Anomaly_Spoofing
54:37.5,sensor_42,sensor,33.23,75.38,693,654,399,445.37,3,2,1,17.15,Normal
54:38.5,camera_50,camera,17.13,81.65,759,1498,609,76.45,1,10,1,3.87,Normal
54:39.5,smart_light_16,smart,43.69,66.04,11,393,589,162.98,4,1,0,6.02,Normal
54:40.5,sensor_6,sensor,86.25,14.94,1362,491,250,443.97,3,1,0,19.75,Anomaly_DoS
54:41.5,smart_light_39,smart,53.85,45.73,1464,347,909,303.93,7,3,0,11.64,Normal
54:42.5,thermostat_27,thermostat,59.49,21.62,235,601,349,361.79,7,10,1,11.28,Normal
54:43.5,sensor_4,sensor,42.16,60.76,1034,1215,812,53.39,4,8,1,8.4,Normal
54:44.5,sensor_15,sensor,77.75,47.64,738,835,131,291.34,5,6,0,15.09,Normal
54:45.5,thermostat_42,thermostat,60.73,81.63,129,1159,752,149.29,7,9,1,13.19,Normal
54:46.5,thermostat_4,thermostat,33.9,64.28,1396,464,980,127.66,2,1,1,1.54,Normal
54:47.5,smart_light_42,smart,27.09,35.69,1102,117,509,269,3,4,1,0.91,Normal
54:48.5,sensor_22,sensor,28.01,27.28,1035,358,343,42.77,6,2,1,9.48,Normal
54:49.5,camera_38,camera,37.6,62.72,1026,498,710,187.14,2,7,0,14.4,Normal
54:50.5,thermostat_19,thermostat,68.24,74.93,756,356,837,103.84,9,9,0,6.13,Normal
54:51.5,camera_6,camera,11.5,24.01,628,92,412,117.38,1,9,0,5.98,Normal
54:52.5,thermostat_29,thermostat,28.1,41.48,1140,769,769,181.61,1,2,0,18.44,Normal
54:53.5,camera_50,camera,35.18,49.52,709,878,885,436.28,9,6,1,10.57,Normal
54:54.5,smart_light_20,smart,83.8,46.18,76,227,337,368.22,1,1,1,7.23,Normal
54:55.5,sensor_36,sensor,88.59,68.93,862,102,19,70.52,3,7,1,12.13,Normal
54:56.5,sensor_14,sensor,25.8,13.84,145,645,774,414.12,3,6,1,13.27,Normal
54:57.5,sensor_29,sensor,41.42,82.94,613,599,504,32.24,4,1,1,16.57,Anomaly_Injection
54:58.5,smart_light_22,smart,58.97,82.71,495,250,751,40.96,2,4,1,10.14,Normal
54:59.5,camera_10,camera,70.28,55.07,1492,985,726,497.08,6,9,1,14.29,Normal
55:00.5,camera_34,camera,33.87,50.26,1368,1281,309,191.46,8,8,1,5.69,Normal
55:01.5,camera_43,camera,81.01,68.03,237,1082,835,89.28,5,9,0,17.25,Normal
55:02.5,thermostat_8,thermostat,25.89,43.68,923,154,215,244.03,4,10,0,6.5,Anomaly_Injection
55:03.5,smart_light_50,smart,12.11,79.6,1308,595,185,53.14,2,6,1,12.04,Normal
55:04.5,camera_29,camera,68.71,21.73,178,1039,519,198.48,7,7,1,9.11,Normal
55:05.5,camera_39,camera,47.21,11.18,480,17,924,161.09,2,4,1,1.82,Normal
55:06.5,sensor_21,sensor,13.73,76.45,261,930,652,172.42,8,5,0,4.28,Normal
55:07.5,smart_light_29,smart,15.72,15.14,457,700,631,369.78,2,4,0,13.68,Normal
55:08.5,sensor_41,sensor,24.6,84.79,1439,162,656,453.57,1,0,1,2.48,Normal
55:09.5,smart_light_37,smart,37.76,17.18,1329,1314,948,118.4,1,0,0,8.89,Anomaly_DoS
55:10.5,sensor_44,sensor,80.44,57.88,1497,1359,395,38.98,1,10,0,12.88,Normal
55:11.5,camera_45,camera,83.26,43.32,1312,854,102,403.19,5,0,0,1.02,Normal
55:12.5,sensor_47,sensor,75.17,66.82,691,39,350,228.78,2,9,1,3.22,Normal
55:13.5,thermostat_2,thermostat,23.36,37.79,1228,1141,15,24.63,1,3,0,9.33,Normal
55:14.5,sensor_8,sensor,81.11,23.67,720,70,25,23.59,7,8,1,0.48,Normal
55:15.5,sensor_4,sensor,31.91,58.38,931,92,260,326.87,4,4,0,9.32,Normal
55:16.5,sensor_13,sensor,26.57,12.83,524,1027,767,304.41,4,9,0,11.66,Normal
55:17.5,camera_39,camera,66.4,66.65,150,1206,68,437.82,4,3,1,10.94,Normal
55:18.5,camera_9,camera,33.2,42,1269,450,566,330.6,2,7,0,15.56,Anomaly_Injection
55:19.5,camera_37,camera,89.93,21.63,1154,229,950,217.27,9,5,1,1.36,Anomaly_Injection
55:20.5,smart_light_47,smart,73.28,45.5,441,1124,637,453.38,3,2,1,18.79,Anomaly_Spoofing
55:21.5,sensor_28,sensor,61.35,43.78,89,1150,859,408.6,7,0,1,19.39,Anomaly_Injection
55:22.5,sensor_4,sensor,77.93,79.59,1098,1232,292,341.07,2,2,0,1.39,Anomaly_DoS
55:23.5,sensor_40,sensor,56.34,68.72,133,280,97,324.41,1,0,1,1.87,Anomaly_DoS
55:24.5,camera_27,camera,31.13,30.27,840,57,617,217.62,2,0,0,13.07,Normal
55:25.5,thermostat_37,thermostat,36.37,72.06,1484,1170,744,190.47,5,6,0,1.05,Normal
55:26.5,smart_light_41,smart,68.19,60.63,411,805,680,196.59,7,4,1,15.93,Normal
55:27.5,thermostat_12,thermostat,27.88,32.59,608,361,776,294.48,4,5,0,0.32,Normal
55:28.5,sensor_23,sensor,36.07,72.74,1117,110,802,105.95,9,10,0,17.37,Normal
55:29.5,thermostat_46,thermostat,83.06,67.71,1069,374,588,354.28,3,0,0,7.97,Normal
55:30.5,thermostat_50,thermostat,85.76,40.6,479,169,344,313.83,2,7,0,12.11,Anomaly_DoS
55:31.5,camera_3,camera,69.3,67.62,1477,657,37,430.25,1,2,1,17.23,Normal
55:32.5,thermostat_49,thermostat,88.62,78.01,1446,44,16,120.94,8,8,0,1.79,Normal
55:33.5,thermostat_33,thermostat,69.72,10.94,1099,382,443,488.72,5,10,0,1.49,Normal
55:34.5,smart_light_3,smart,79.85,34.28,882,1070,778,227.6,7,1,0,2.34,Normal
55:35.5,smart_light_8,smart,52.05,11.64,615,553,978,210.97,9,2,1,8.71,Normal
55:36.5,camera_46,camera,52.67,36.3,963,1111,792,353.09,3,3,1,6.61,Normal
55:37.5,smart_light_44,smart,37.83,12.84,1415,301,163,285.13,1,1,1,16.76,Normal
55:38.5,thermostat_35,thermostat,80.1,39.84,1457,493,263,495.05,3,7,1,8.89,Normal
55:39.5,thermostat_30,thermostat,58.95,34.19,582,1083,724,405.74,6,8,1,4.67,Normal
55:40.5,sensor_18,sensor,36.65,77.55,1103,141,754,178.72,1,2,0,9.67,Anomaly_DoS
55:41.5,thermostat_33,thermostat,80.67,43.33,1483,275,354,27.98,1,0,1,7.09,Normal
55:42.5,thermostat_29,thermostat,52.27,27.78,258,636,174,322.83,9,1,0,16.13,Normal
55:43.5,camera_48,camera,27.22,81.34,1129,240,581,483.91,1,10,0,5.42,Anomaly_Injection
55:44.5,smart_light_13,smart,39.93,18.67,455,1041,479,222.12,4,5,0,15.19,Normal
55:45.5,camera_10,camera,89.3,54.15,1129,565,861,221.76,9,6,0,14.87,Anomaly_Injection
55:46.5,smart_light_24,smart,66.6,31.76,1196,166,540,372.98,8,5,0,11.39,Normal
55:47.5,thermostat_14,thermostat,30.67,73.66,1154,238,873,480.74,5,5,0,0.77,Anomaly_DoS
55:48.5,thermostat_30,thermostat,83.25,19.21,953,607,992,460.24,8,4,1,3.99,Anomaly_DoS
55:49.5,smart_light_12,smart,65.94,52.91,211,1194,91,251.17,4,6,0,16.12,Anomaly_Spoofing
55:50.5,thermostat_23,thermostat,44.21,62.07,722,877,244,117.18,7,5,1,2.45,Normal
55:51.5,thermostat_15,thermostat,24.08,80.57,387,491,635,231.37,6,8,1,2.89,Normal
55:52.5,sensor_27,sensor,63.79,21.74,1124,790,817,102.89,4,8,1,16.94,Normal
55:53.5,smart_light_2,smart,73.9,82.43,340,813,22,483.31,2,9,1,18.09,Normal
55:54.5,camera_7,camera,64.27,80.26,379,524,168,222.77,9,5,0,11.42,Normal
55:55.5,sensor_16,sensor,43.29,34.36,881,1087,409,130.83,6,10,1,7.31,Normal
55:56.5,thermostat_18,thermostat,89.55,43.08,657,1260,254,51.67,8,4,1,11.78,Normal
55:57.5,sensor_36,sensor,30.81,35.71,644,1023,470,209.99,8,10,1,1.44,Anomaly_DoS
55:58.5,thermostat_26,thermostat,62.2,43.67,508,1392,779,125.24,6,6,1,16.45,Normal
55:59.5,smart_light_13,smart,89.15,62.38,1039,923,44,300.83,8,10,1,7.91,Normal
56:00.5,camera_47,camera,56.96,79.49,266,427,114,260.12,8,10,0,8.7,Anomaly_Spoofing
56:01.5,smart_light_25,smart,15.59,29.77,1335,840,914,420.53,4,2,1,12.67,Normal
56:02.5,thermostat_2,thermostat,63.15,66.01,506,440,686,413,4,6,1,6.42,Normal
56:03.5,sensor_13,sensor,76.04,61.52,521,799,961,379.94,2,7,0,5.9,Normal
56:04.5,sensor_18,sensor,31.22,73.63,965,1410,95,44.96,7,5,0,5.33,Normal
56:05.5,sensor_5,sensor,64.33,64.26,463,1429,775,196.33,4,5,0,14.32,Normal
56:06.5,sensor_15,sensor,34.32,32.15,941,210,993,157.87,4,4,0,4.49,Anomaly_Injection
56:07.5,thermostat_40,thermostat,61.48,14.54,1392,462,927,141.7,5,1,1,13.9,Anomaly_Injection
56:08.5,sensor_10,sensor,59.01,48.44,1184,711,336,364.92,9,0,0,12.03,Normal
56:09.5,smart_light_33,smart,32.38,67.21,1145,407,387,87.65,1,0,0,16.15,Normal
56:10.5,smart_light_4,smart,39.81,31.1,391,121,984,196.18,2,6,0,17.28,Normal
56:11.5,thermostat_17,thermostat,67.85,59.7,452,629,841,327.15,4,6,0,2.19,Normal
56:12.5,camera_22,camera,82.02,81.67,1081,1040,540,486.33,7,9,1,1.53,Normal
56:13.5,sensor_38,sensor,17.34,82.27,1415,841,218,300.08,7,8,1,0.17,Normal
56:14.5,sensor_3,sensor,75.83,44.86,700,657,693,120.54,6,0,0,0.88,Normal
56:15.5,sensor_7,sensor,74.91,71.16,474,167,749,245.7,9,6,1,7.07,Normal
56:16.5,sensor_11,sensor,77.32,11.9,1161,1020,528,457,9,10,0,18.59,Normal
56:17.5,sensor_21,sensor,57.82,48.95,410,251,559,91.28,2,8,0,7.13,Normal
56:18.5,sensor_23,sensor,24.94,47.63,998,1049,535,270.46,5,10,0,4.91,Normal
56:19.5,thermostat_26,thermostat,62.34,59.28,391,1053,858,305.46,2,5,1,6.55,Normal
56:20.5,sensor_44,sensor,17.42,32.65,325,836,426,366.89,4,6,1,3.09,Anomaly_Spoofing
56:21.5,camera_7,camera,28.88,50.93,680,73,213,162.43,7,0,0,14.61,Normal
56:22.5,sensor_7,sensor,65.84,71.38,1312,115,495,91.5,4,1,1,13.26,Normal
56:23.5,camera_5,camera,58.13,19.64,1138,1182,143,315.52,9,4,0,1.88,Normal
56:24.5,camera_30,camera,23.17,67.41,512,1433,626,251.94,4,1,1,4.78,Normal
56:25.5,thermostat_14,thermostat,62,54.4,543,1377,762,144.83,9,7,0,15.11,Normal
56:26.5,thermostat_7,thermostat,81.77,20.22,59,744,450,437.51,2,6,0,0.47,Normal
56:27.5,camera_29,camera,52.34,23.32,83,43,146,200.41,8,6,0,15.21,Anomaly_DoS
56:28.5,thermostat_41,thermostat,52.41,42.28,689,1328,726,102.57,9,5,0,15.46,Anomaly_Injection
56:29.5,thermostat_26,thermostat,12.73,47.67,982,100,356,331.19,8,2,0,19.54,Normal
56:30.5,camera_5,camera,19.73,57.43,1340,1078,634,122.92,8,2,0,11.25,Normal
56:31.5,thermostat_11,thermostat,18.91,80.17,1482,811,777,299.99,4,0,1,8.18,Anomaly_DoS
